id,interest,year,pid,gender,activity,pride,routine,outoftouch,fbcommunity,shutdown,friends,time,trust,job,loan,advice,notimportant,connected,spendtime,newthings,community,newpeople,group,motives,dontshare,depend,dontunderstand,alone,cares,support,romantic,needromance,agreeable,conscientious,extraverted,neurotic,open,facebook,linkedin,degree,cluster,effective,constraint,hierarchy,betweenness,isolates,fdegree,mdegree,odegree,pisolates
Wildcat001,6,2,1,1,1,3,2,1,1,1,1,1,1,4,1,1,2,2,4,4,1,4,2,2,2,1,4,4,2,4,1,4,,,,,,0,1,4,,-1.5,,8.33,3,,,,,
Wildcat002,5,2,3,1,1,3,1,2,2,3,1,1,4,4,4,5,3,4,4,2,4,2,4,3,1,4,2,1,5,5,3,1,21,77,54,54,83,0,1,6,15,3,31.48,3.7,12,,,,,
Wildcat003,5,2,3,0,1,3,1,3,2,4,5,1,4,4,4,5,2,5,4,4,5,4,,,,,,,,,,,,,,,,0,1,9,0.3542,-2.3,31.11,5.19,20.5,,,,,
Wildcat004,5,2,5,1,2,4,2,1,4,4,5,1,4,5,5,5,1,4,4,4,5,5,5,5,2,5,1,4,5,5,1,3,77,46,77,73,61,0,1,186,14.02,82.199997,2.0799999,0.63,10048.9,,,,,
Wildcat005,4,2,1,1,4,3,2,3,2,3,5,2,4,2,3,3,4,2,2,3,4,1,2,2,2,2,4,3,5,5,3,4,100,75,73,35,79,0,1,37,27.52,-2.6,8.82,2.01,404.9,,,,,
Wildcat006,6,3,3,1,1,1,1,1,1,1,1,1,1,4,5,4,2,2,4,4,2,2,4,5,2,5,2,1,5,2,1,5,67,73,88,42,81,0,1,33,11.22,18.6,8.8,2.01,451,,,,,
Wildcat007,5,3,3,1,1,3,1,1,3,3,4,1,2,4,3,4,2,3,3,4,3,4,2,4,1,4,1,4,4,4,1,4,,,,,,0,1,22,0.2359,2.2,15.21,4.15,163,,,,,
Wildcat008,5,3,2,0,1,3,1,1,2,2,2,1,3,5,3,4,4,3,3,4,4,4,4,4,5,4,4,4,4,5,1,5,,,,,,0,1,8,0.7768,-13.8,38.92,8,7.5,,,,,
Wildcat009,4,3,2,1,1,1,1,1,1,1,1,1,3,2,4,5,1,5,4,5,5,3,4,5,1,5,2,1,5,5,5,5,,,,,,0,1,9,0.0764,6.6,21.49,3.18,32,,,,,
Wildcat010,5,3,3,0,1,3,1,2,4,4,3,2,3,4,5,5,2,3,4,4,4,4,5,4,1,5,2,1,5,4,5,2,71,67,81,12,77,0,1,4,,6,,0,6,,,,,
Wildcat011,5,3,4,1,1,3,1,2,2,3,1,1,4,4,4,5,3,3,3,4,3,2,4,4,2,3,2,2,4,3,2,3,,,,,,0,1,3,,1.7,,5.56,2,,,,,
Wildcat012,5,3,6,0,1,3,1,1,2,2,5,2,4,3,5,5,1,4,2,4,4,4,,,,,,,,,,,81,38,50,27,65,0,1,3,-25,5,33.330002,0,3,,,,,
Wildcat013,4,3,4,0,1,3,1,1,1,1,2,1,5,5,4,5,3,4,4,2,4,5,4,4,4,5,2,4,4,5,5,4,20,81,91,50,100,0,1,499,3.39,431.5,0.89,0.35,110898.5,,,,,
Wildcat014,4,3,4,0,1,3,4,3,1,1,5,3,5,4,4,5,1,5,5,5,5,3,4,4,3,5,1,1,5,5,5,3,40,58,59,81,88,0,1,1,,,,,,,,,,
Wildcat015,5,3,4,0,1,1,1,1,1,1,2,1,5,4,5,4,4,4,4,4,4,4,5,5,4,2,3,1,5,5,5,3,35,75,46,40,75,0,1,23,5,44,15,8,3,,,,,
Wildcat016,6,3,3,0,1,3,1,1,1,1,1,1,5,5,5,5,1,4,3,4,5,3,5,5,1,5,1,1,5,5,5,1,38,90,79,25,42,0,1,6,40,-2,39.58,6.25,9,,,,,
Wildcat017,2,3,3,0,1,2,1,1,1,1,5,1,5,4,4,5,1,3,3,4,5,4,5,3,1,4,2,4,1,5,1,4,52,62,60,46,83,0,1,1,,,,,,,,,,
